method,size,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,spearman_corr_test_mean,spearman_corr_test_std,loss_mean,loss_std,forward_policy_entropy_eval_mean,forward_policy_entropy_eval_std
subtb_gfn,medium,0.8,167.4,182.00927937272257,534323.5215387384,171226.30786219574,0.9758113195489188,0.015660992121268535,0.13259558454155923,0.03488716500334623,3.7722429037094116,0.050187423040913136
subtb_gfn,medium,0.9,224.1,284.5996993829911,570697.6648582937,153367.22052626364,0.9698794548717989,0.01735369955709697,0.2568561300635338,0.049976649246724396,3.776264728605747,0.04861586275308432
subtb_gfn,small,0.1,55.3,34.912748387945626,0.19993451245086258,0.021617158331069627,0.993008750274891,0.005987607476987591,0.024680954217910767,0.011906388691881008,2.8958096250891687,0.04718559964446432
subtb_gfn,small,0.2,55.4,34.92277194038297,0.19993289489275212,0.02171333957796569,0.9940055365204838,0.004200865275228612,0.02412172220647335,0.007651055152004422,2.8955858945846558,0.047436153566826345
subtb_gfn,small,0.3,54.7,35.00492028907428,0.19965743381022388,0.021908465936231622,0.9953971736124879,0.002281053042230927,0.01776757063344121,0.005575854238739903,2.8950320214033125,0.046843798848942526
subtb_gfn,small,0.4,53.8,36.12263064125375,0.1988307587398207,0.0228203208657279,0.9961840013207317,0.0038893637435033312,0.017792693339288235,0.008700665737918244,2.8941356793045996,0.047707378184933855
subtb_gfn,small,0.5,55.0,36.99249173068022,0.19991147328203965,0.022528955942336285,0.994876004916289,0.0046689798847948105,0.016457300819456577,0.010455995857893042,2.8954586371779443,0.047663327659348775
subtb_gfn,small,0.6,58.7,33.0758387816713,0.2035310981854744,0.018876934712527937,0.9976922203503926,0.0018241338389582192,0.008715629251673818,0.003058238864842017,2.894719721376896,0.04713713803338244
subtb_gfn,small,0.7,60.3,31.717678211229636,0.206369792961628,0.016162167363621572,0.9979373659309703,0.0009061838852302405,0.009929758729413152,0.0024387385974008052,2.895146496593952,0.046307752961097404
subtb_gfn,small,0.8,62.1,29.89778884429044,0.20637597467828223,0.016278683934233675,0.9976822516368186,0.0011960321129803532,0.01149274962954223,0.004508593962703967,2.8946663931012155,0.046612291670069535
subtb_gfn,small,0.9,60.7,31.137865480258387,0.2051396781104739,0.01728804591114596,0.9976111401563029,0.0008170256284081838,0.01622275058180094,0.004264389902431804,2.8953109800815584,0.046371370856313925
tb_gfn,large,0.5,0.0,0.0,11754.280200097655,230.90873428313407,0.9958545568327498,0.0004493887246185341,0.030752641335129737,0.0029533819498456255,3.98338169157505,0.0017284709763303876
tb_gfn,large,0.7,591.6,210.56186739293514,683702.4598875,32706.822280689168,0.9961338625080567,0.0007567105498402517,0.028024676814675333,0.008810816400759314,3.981961452960968,0.0018196839842785709
tb_gfn,medium,0.5,0.0,0.0,44854.405848046874,1480.9670458698738,0.9979225123170142,0.0004594331775023824,0.015076453238725663,0.013168730364239406,3.813953161239624,0.0022350486329453696
tb_gfn,medium,0.8,499.0,427.07142259814106,703904.3621,39194.70286546342,0.86167658185656,0.30048609269408827,0.48128387741744516,1.0105705823189104,3.8134171187877657,0.0021764379581189664
tb_gfn,small,0.5,23.2,2.387467277262665,0.17990509199798108,0.0013193122083346867,0.9994770945998768,0.00017867814368597562,0.0018510861555114388,0.0008812487134703392,2.937865826487541,0.0018199425969956892
tb_gfn,small,0.7,24.8,3.271085446759225,0.18403512225747107,0.0016637230501625798,0.9993320024335548,0.0003882307397833324,0.0017157959984615446,0.0009898375791141275,2.9383167207241057,0.0015316084089230444
