benchmark,variant,method,fl,size,alpha,seed,modes,spearman,run_name
7-mols,fl_subtb,subtb,True,,0.3,3,13.0,-0.5700974143618863,m(fl_subtb)_a(0.3)_s(3)_v(False)
7-mols,db,db,False,,0.5,3,13.0,0.5301053035294249,m(db)_a(0.5)_s(3)_v(False)
7-mols,fl_db,db,True,,0.2,1,5.0,-0.5976335345288534,m(fl_db)_a(0.2)_s(1)_v(False)
7-mols,subtb,subtb,False,,0.5,2,19.0,0.6015021382977067,m(subtb)_a(0.5)_s(2)_v(False)
7-mols,db,db,False,,0.3,2,13.0,0.5297220314116966,m(db)_a(0.3)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.6,2,27.0,0.6157332233407626,m(subtb)_a(0.6)_s(2)_v(False)
7-mols,db,db,False,,0.4,4,10.0,0.4535225408450186,m(db)_a(0.4)_s(4)_v(False)
7-mols,db,db,False,,0.6,1,11.0,0.5046409326289422,m(db)_a(0.6)_s(1)_v(False)
7-mols,db,db,False,,0.6,3,15.0,0.42934178296233816,m(db)_a(0.6)_s(3)_v(False)
7-mols,fl_db,db,True,,0.3,3,3.0,-0.5298679471925577,m(fl_db)_a(0.3)_s(3)_v(False)
7-mols,fl_db,db,True,,0.7,1,11.0,-0.5397656902772744,m(fl_db)_a(0.7)_s(1)_v(False)
7-mols,fl_db,db,True,,0.8,0,25.0,-0.556272299446915,m(fl_db)_a(0.8)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.1,2,8.0,-0.6067676713787233,m(fl_subtb)_a(0.1)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.2,0,22.0,0.35975868135015926,m(subtb)_a(0.2)_s(0)_v(False)
7-mols,subtb,subtb,False,,0.8,2,29.0,0.6186223558018115,m(subtb)_a(0.8)_s(2)_v(False)
7-mols,fl_db,db,True,,0.8,1,23.0,-0.5589376872123876,m(fl_db)_a(0.8)_s(1)_v(False)
7-mols,subtb,subtb,False,,0.9,0,28.0,0.6022054118292957,m(subtb)_a(0.9)_s(0)_v(False)
7-mols,db,db,False,,0.5,1,8.0,0.5518077629385029,m(db)_a(0.5)_s(1)_v(False)
7-mols,db,db,False,,0.3,4,12.0,0.5733086442907556,m(db)_a(0.3)_s(4)_v(False)
7-mols,db,db,False,,0.5,0,6.0,0.5201728163262129,m(db)_a(0.5)_s(0)_v(False)
7-mols,db,db,False,,0.4,3,9.0,0.5169535494109659,m(db)_a(0.4)_s(3)_v(False)
7-mols,subtb,subtb,False,,0.3,0,29.0,0.5939691550464321,m(subtb)_a(0.3)_s(0)_v(False)
7-mols,db,db,False,,0.8,2,14.0,0.5005881623476878,m(db)_a(0.8)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.9,3,50.0,-0.5997057529066617,m(fl_subtb)_a(0.9)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.6,1,12.0,-0.6396875685701403,m(fl_subtb)_a(0.6)_s(1)_v(False)
7-mols,fl_subtb,subtb,True,,0.4,4,14.0,-0.5810903850346674,m(fl_subtb)_a(0.4)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.8,2,39.0,-0.6239060878232742,m(fl_subtb)_a(0.8)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.8,4,34.0,-0.6167488377077169,m(fl_subtb)_a(0.8)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.6,3,18.0,-0.6127231912912975,m(fl_subtb)_a(0.6)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.4,1,12.0,-0.6172518901193504,m(fl_subtb)_a(0.4)_s(1)_v(False)
7-mols,fl_subtb,subtb,True,,0.8,0,26.0,-0.6120625778729174,m(fl_subtb)_a(0.8)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.7,2,24.0,-0.6694437684395215,m(fl_subtb)_a(0.7)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.9,2,32.0,-0.6712811723778529,m(fl_subtb)_a(0.9)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.5,2,11.0,0.02830652658652666,m(fl_subtb)_a(0.5)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.9,1,35.0,-0.5835776816480894,m(fl_subtb)_a(0.9)_s(1)_v(False)
7-mols,fl_subtb,subtb,True,,0.6,4,15.0,-0.5415168498324704,m(fl_subtb)_a(0.6)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.8,1,40.0,-0.6022195170214456,m(fl_subtb)_a(0.8)_s(1)_v(False)
7-mols,fl_subtb,subtb,True,,0.7,3,14.0,-0.5920873361263499,m(fl_subtb)_a(0.7)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.7,0,32.0,-0.6587716908881507,m(fl_subtb)_a(0.7)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.5,0,15.0,-0.5830954857700998,m(fl_subtb)_a(0.5)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.8,3,32.0,-0.6277118956454214,m(fl_subtb)_a(0.8)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.9,0,42.0,-0.5678549320030201,m(fl_subtb)_a(0.9)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.6,2,20.0,-0.563292496344686,m(fl_subtb)_a(0.6)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.4,0,9.0,-0.5941427137613341,m(fl_subtb)_a(0.4)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.6,0,26.0,-0.618535049526263,m(fl_subtb)_a(0.6)_s(0)_v(False)
7-mols,fl_subtb,subtb,True,,0.9,4,37.0,-0.6347963499991937,m(fl_subtb)_a(0.9)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.7,4,26.0,-0.5350763487709699,m(fl_subtb)_a(0.7)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.5,4,19.0,-0.5774555013369345,m(fl_subtb)_a(0.5)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.5,3,18.0,-0.6679420518614931,m(fl_subtb)_a(0.5)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.7,1,21.0,-0.6719396173389884,m(fl_subtb)_a(0.7)_s(1)_v(False)
7-mols,fl_subtb,subtb,True,,0.4,3,16.0,-0.6906151349384266,m(fl_subtb)_a(0.4)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.5,1,17.0,-0.5200005141083129,m(fl_subtb)_a(0.5)_s(1)_v(False)
7-mols,fl_db,db,True,,0.4,2,11.0,-0.5468279410628446,m(fl_db)_a(0.4)_s(2)_v(False)
7-mols,fl_subtb,subtb,True,,0.4,2,12.0,-0.6106644333709405,m(fl_subtb)_a(0.4)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.5,1,20.0,0.5958986885875127,m(subtb)_a(0.5)_s(1)_v(False)
7-mols,subtb,subtb,False,,0.9,1,21.0,0.6845857391371581,m(subtb)_a(0.9)_s(1)_v(False)
7-mols,tb,tb,False,,0.1,1,25.0,0.08429830279040271,m(tb)_a(0.1)_s(1)_v(False)
7-mols,tb,tb,False,,0.4,3,32.0,0.5481177149691724,m(tb)_a(0.4)_s(3)_v(False)
7-mols,tb,tb,False,,0.4,2,44.0,-0.07571756316822302,m(tb)_a(0.4)_s(2)_v(False)
7-mols,tb,tb,False,,0.6,4,37.0,0.4800492191623311,m(tb)_a(0.6)_s(4)_v(False)
7-mols,tb,tb,False,,0.6,1,49.0,0.6107989596144621,m(tb)_a(0.6)_s(1)_v(False)
7-mols,tb,tb,False,,0.1,4,15.0,-0.5351059589360173,m(tb)_a(0.1)_s(4)_v(False)
7-mols,tb,tb,False,,0.5,2,35.0,0.29390923435668376,m(tb)_a(0.5)_s(2)_v(False)
7-mols,tb,tb,False,,0.8,2,31.0,-0.6256973661619891,m(tb)_a(0.8)_s(2)_v(False)
7-mols,tb,tb,False,,0.7,4,39.0,0.24766804297211972,m(tb)_a(0.7)_s(4)_v(False)
