benchmark,variant,method,fl,size,alpha,n_runs,modes_mean,modes_std,modes_min,modes_max,spearman_mean,spearman_std,spearman_min,spearman_max
7-mols,subtb,subtb,False,,0.800000,5,25.200000,3.633180,21.000000,29.000000,0.610276,0.013445,0.595958,0.627973
7-mols,subtb,subtb,False,,0.900000,5,24.000000,5.787918,18.000000,32.000000,0.604447,0.058098,0.521760,0.684586
7-mols,tb,tb,False,,0.100000,5,19.800000,3.834058,15.000000,25.000000,-0.070083,0.322629,-0.535106,0.242389
7-mols,tb,tb,False,,0.200000,5,29.600000,7.300685,22.000000,40.000000,-0.312328,0.289057,-0.658856,0.138087
7-mols,tb,tb,False,,0.300000,5,37.000000,7.416198,30.000000,48.000000,0.104716,0.407561,-0.589424,0.411900
7-mols,tb,tb,False,,0.400000,5,34.400000,6.542171,26.000000,44.000000,0.136971,0.541727,-0.722039,0.548118
7-mols,tb,tb,False,,0.500000,5,38.400000,6.107373,34.000000,49.000000,0.218125,0.454245,-0.571799,0.548337
7-mols,tb,tb,False,,0.600000,5,40.200000,5.069517,37.000000,49.000000,0.473498,0.163972,0.201639,0.610799
7-mols,tb,tb,False,,0.700000,5,36.800000,4.438468,29.000000,40.000000,0.303485,0.116426,0.190040,0.440005
7-mols,tb,tb,False,,0.800000,5,39.200000,9.808160,29.000000,53.000000,-0.021514,0.355362,-0.625697,0.316670
7-mols,tb,tb,False,,0.900000,5,60.600000,32.385182,32.000000,108.000000,0.083224,0.424486,-0.612911,0.435220
