method,size,alpha,n_seeds,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
subtb_gfn,medium,0.2,5,0.0,0.0,27895.32742068395,1448.477193254682,0.6810831997890666,0.000865145629421498,0.9792744185142878,0.007658192141823303
subtb_gfn,medium,0.3,5,0.0,0.0,29222.797418872906,1712.929044813556,0.6820746114060857,0.0008607950633589952,0.9730805503921888,0.008259216307972878
subtb_gfn,medium,0.4,5,0.0,0.0,51294.0458414841,4001.756826745056,0.6933182175139297,0.0015641706656207405,0.9689784103734661,0.01492823892726828
subtb_gfn,medium,0.5,5,0.0,0.0,160688.92654259191,40230.65457390212,0.7325418871753528,0.008181058652124621,0.967823315549411,0.006929823613776184
subtb_gfn,medium,0.6,5,0.4,0.8944271909999161,205413.7223410314,90669.40490144985,0.7622531466335376,0.01508065378381081,0.9503751184711909,0.01509203941688299
subtb_gfn,medium,0.7,5,0.2,0.44721359549995804,331356.4322136751,49167.89049739501,0.7988975046641505,0.005476763617828813,0.9478357043488087,0.010108494741348164
subtb_gfn,medium,0.8,5,1.4,1.140175425099138,375539.5763834034,52271.38804895994,0.8172355896512045,0.008966036332994738,0.9643885656846788,0.014880131802388185
subtb_gfn,medium,0.9,5,5.2,6.760177512462229,434821.48153221485,78120.94670009775,0.837825603272967,0.009911263854892398,0.9558134300089496,0.013033862640211355
subtb_gfn,small,0.1,5,22.2,1.6431676725154984,0.17944299643848072,0.0012786705888763194,0.6887036588172359,0.0013425616713190014,0.9886709723959883,0.005788267105733157
subtb_gfn,small,0.2,5,22.4,4.393176527297759,0.1793590539842887,0.0016008913163112468,0.6886561320744479,0.0016290807308391463,0.9905933248038334,0.0031433299439970665
subtb_gfn,small,0.3,5,21.6,3.847076812334269,0.1788931724327599,0.0014241098151403543,0.6881084201218028,0.0013902216798905287,0.9935237353592885,0.0012683425767405258
subtb_gfn,small,0.4,5,19.6,3.209361307176242,0.17719910542522307,0.0013748624947633465,0.6863856923911195,0.0013619124118763844,0.9942733846293612,0.004974924811498367
subtb_gfn,small,0.5,5,20.0,4.06201920231798,0.17857278962802986,0.0019084801009101485,0.6878567237550739,0.0018895792871895564,0.9917761439563385,0.004937341461580571
subtb_gfn,small,0.6,5,27.4,3.5071355833500366,0.18563132451771647,0.0008697228535479563,0.6955639260209869,0.0009627026415464524,0.9967036382147751,0.002218952081013393
subtb_gfn,small,0.7,5,30.6,7.635443667528429,0.191288133420446,0.004369667594468156,0.7032434825038462,0.005797637325431115,0.9971323339059855,0.0004598501164029056
subtb_gfn,small,0.8,5,34.2,8.07465169527454,0.19133725809610744,0.0055525533932784515,0.7034315569020215,0.0076012017706087835,0.9967588604741296,0.000989356590480333
subtb_gfn,small,0.9,5,32.0,10.977249200050075,0.18921498807130968,0.00619824059576856,0.7016089812529948,0.009035832214660897,0.9969818015322094,0.0005736323008393648
