method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
subtb,4,0.2,50.6,9.179687721631202,0.6008675417193488,0.07798227613899092,0.010727123436468193,0.03392214278411386
subtb,4,0.3,48.9,10.816140202904588,0.563713945515681,0.051459091063551704,0.016454952943396228,0.05187921301249262
subtb,4,0.4,50.0,9.77525219907679,0.5759612989789434,0.005361307504241447,6.3312881923885356e-12,9.96365553738155e-12
subtb,4,0.5,48.6,10.915839663331242,0.5755375909510179,0.003681641441561379,2.2142974709496087e-11,4.058404182060727e-11
subtb,4,0.6,47.4,12.903057346570575,0.5792186664609866,0.008080466862667623,9.048838496202851e-11,2.6508744064641987e-10
subtb,4,0.7,49.1,10.608696642116053,0.5775280622314705,0.006736469926669348,6.143883770976299e-12,9.276335118010654e-12
subtb,4,0.8,48.6,10.834102536794534,0.5755341185496101,0.003014641922616439,2.5665270145405393e-12,3.3052227340558387e-12
subtb,4,0.9,50.6,9.179687721631202,0.5752857272057753,0.004263717001146666,8.355651764706114e-12,1.8414069316508652e-11
subtb,6,0.1,35.1,11.751595636338072,0.5750662153532631,0.06714450981822041,6.948210892202069e-14,8.81987527776882e-14
subtb,6,0.2,32.5,15.364099568655355,0.555608987933354,0.0019232142639422174,4.6345706814989003e-14,5.1682899051728275e-14
subtb,6,0.3,34.2,12.327025413925112,0.5552431863185682,0.0026824125672184687,2.603282308381073e-13,7.04032487313458e-13
subtb,6,0.4,34.4,14.07282645542268,0.5550505058752523,0.0037641959094811416,1.4756950242723267e-13,3.094436699507627e-13
subtb,6,0.5,35.2,13.93476866610199,0.5552337438532526,0.001972249272597594,1.4494652072326793e-24,3.357673023621504e-24
subtb,6,0.6,31.5,13.352070168246486,0.5546582379811035,0.00260699160154527,9.479813085819659e-24,2.4263970833733356e-23
subtb,6,0.7,33.4,15.04954779682396,0.5532063207439075,0.008720305547818758,1.5096544957213067e-24,3.352110065337081e-24
subtb,6,0.8,35.1,13.739238212749154,0.5556894439040849,0.0023289806695710948,2.8378121297285617e-13,7.507131054896703e-13
subtb,6,0.9,32.4,13.5990195725035,0.5556034644372833,0.0021785481137313613,9.026498444594651e-14,1.1601264452286125e-13
subtb,8,0.1,59.0,1.4907119849998591,0.7863343659903956,0.02347014293851487,5.0722140798036206e-12,6.689914042584503e-12
subtb,8,0.2,59.4,0.8432740427115677,0.7889009605143034,0.0208334906002137,4.448484239060045e-12,5.511694703656533e-12
subtb,8,0.3,59.2,1.3165611772087658,0.7889028000681481,0.021823531066387493,8.121483979523062e-12,1.4410802089452841e-11
subtb,8,0.4,59.5,1.0801234497346435,0.7875223814455452,0.021101626568722456,4.5664793914128484e-12,6.478847722336035e-12
subtb,8,0.5,59.4,1.0749676997731399,0.7871034835525527,0.025305541069860604,3.3278044883970436e-12,4.112754391462512e-12
subtb,8,0.6,59.2,1.0327955589886444,0.7895693019140886,0.023287567068899156,2.2875511247288267e-12,2.530778534598513e-12
subtb,8,0.7,58.6,1.8973665961010275,0.7885137071947568,0.021153822784916797,4.3710028912499404e-12,5.0063125167757185e-12
subtb,8,0.8,58.9,1.3703203194062963,0.7897957727160742,0.021283352628829116,1.1695331502264184e-11,1.845134444822055e-11
subtb,8,0.9,59.3,0.8232726023485636,0.7870988783574434,0.02197569142205959,2.749557724725515e-12,3.2761757813810626e-12
subtb,10,0.1,26.6,9.070097390142328,0.5674630266935873,0.003612156229601476,1.8397909951572492e-14,2.102389638262613e-14
subtb,10,0.2,27.4,8.909420731886991,0.5677924011554754,0.0021232497541669774,2.770971690629784e-14,4.0919173451624605e-14
subtb,10,0.3,27.2,9.18694726228468,0.5688769021153841,0.0012523483223783637,4.7141151254183236e-14,7.810973493582196e-14
subtb,10,0.4,27.5,10.8959727524541,0.568937118198533,0.0015335099150684153,2.883456765963954e-14,3.914155015897605e-14
subtb,10,0.5,27.4,8.983936281558945,0.5689538638670658,0.002000841435252096,1.692140556114394e-14,1.890713231238822e-14
subtb,10,0.6,27.2,9.997777530809312,0.5687345911457473,0.002321628329811047,2.1604856673080037e-14,2.4871056256362756e-14
subtb,10,0.7,28.4,9.879271228182771,0.5670888327857383,0.0021272747681163177,2.2248801719662157e-14,2.715720278396288e-14
