method,size,reward_temp,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,small,1.0,0.5,24.8,2.588435821108957,0.1844665496200323,0.0012191927797691343,0.694183113690378,0.0012723199720983656,0.9986060099978585,0.00036112840651950616
db_gfn,small,2.0,0.5,1523.5,1600.2435404927867,0.24750032061682298,0.12091203178894694,0.6470425580737118,0.001556680578840735,0.9927985458290097,0.003019806508072131
db_gfn,small,0.5,0.9,45.0,47.43416490252569,0.13541039038762281,0.09067259244042647,0.7383234172214583,5.0465095671524114e-05,0.9968650947931155,0.0004995544239068479
db_gfn,small,1.0,0.9,55.8,13.917614738165444,0.2043800051867962,0.006146176266598261,0.7208810241895899,0.007723312277144086,0.9952735863682074,0.0005185324267589475
db_gfn,small,2.0,0.9,2335.1,2480.8947064404897,0.27500348219356685,0.12545068045691712,0.6722497106767501,0.008873942475219155,0.986035469512154,0.0034147495917529825
fl_db_gfn,large,0.5,0.5,84088.5,75015.16048587927,382803150758.193,403521166664.56555,0.8917649774439012,0.0024103195944350665,0.7969378796188483,0.01338082120352549
fl_db_gfn,large,1.0,0.5,247.6,147.16759154107265,593090.2406125,67865.24176786706,0.8526686980331574,0.007941831469963087,0.9023042567659392,0.019388476407551355
fl_db_gfn,large,2.0,0.5,0.4,0.6992058987801011,88839.95229459259,97892.11123761225,0.8085026510493136,0.0071774053471658885,0.8975791647044487,0.018982674534891702
fl_db_gfn,large,0.5,0.9,86386.7,70958.74743046131,383565516710.8277,404327657099.47845,0.9003650933755406,0.004575754021798176,0.7163443847222214,0.02083883354803377
fl_db_gfn,large,1.0,0.9,2239.2,169.7989988191921,768544.6010625,6904.368876756174,0.8747602442725773,0.0016563594405031151,0.8471800559070208,0.017983450911744435
fl_db_gfn,large,2.0,0.9,28.7,35.39946641154668,236387.393643893,250693.10247735778,0.8500545189065983,0.0025475091160549346,0.9487442408415372,0.0156253989436846
fl_db_gfn,medium,0.5,0.5,76712.5,79559.6858566643,289103009804.5544,305234688717.7571,0.8361342155614546,0.00505851467852912,0.8843962217869056,0.015258709318918873
fl_db_gfn,medium,1.0,0.5,14.2,10.059821071967434,507462.73498125,47471.44951084295,0.7822985250144237,0.0058428884334491525,0.9679817526163363,0.007726713822171247
fl_db_gfn,medium,2.0,0.5,0.2,0.6324555320336759,127342.62157742861,142662.20785413432,0.747960958836804,0.006110560088092159,0.9463082666929028,0.016762496272247226
fl_db_gfn,medium,0.5,0.9,82336.8,78233.90076459465,381011017816.70215,401757979199.41675,0.8871218020350415,0.004845397267878559,0.7471151266579905,0.02404416377795958
fl_db_gfn,medium,1.0,0.9,118.6,45.878099350343625,638688.0967875,24711.413501558287,0.8057597348865866,0.005748593363065082,0.9349651253401445,0.012630779818780462
fl_db_gfn,medium,2.0,0.9,2.2,3.32665998663324,229547.4037275393,242747.28170898248,0.7790972071802634,0.006494154573398331,0.9876453720016771,0.002818088496236015
fl_db_gfn,small,0.5,0.5,45.0,47.43416490252569,0.13543633512514236,0.0906838908712987,0.7383766069366754,5.157406118672882e-06,0.9358388974147427,0.008066313754933977
fl_db_gfn,small,1.0,0.5,83.0,2.449489742783178,0.21803791280686857,0.0005828101265576067,0.734215009359603,0.0007167550782137335,0.9919987436129254,0.002447907138057044
fl_db_gfn,small,2.0,0.5,5874.6,6271.68474973033,0.3083824196720388,0.12920684377226643,0.706937700459512,0.004306498450260185,0.9874784063862989,0.0062191138493052
fl_db_gfn,small,0.5,0.9,45.0,47.43416490252569,0.13538484429802278,0.09065850028234039,0.7382785457812295,0.00013408612319426084,0.836363557527319,0.015875299417636983
fl_db_gfn,small,1.0,0.9,88.6,2.1908902300206643,0.21995565728545188,0.002010936627553667,0.7371031396806809,0.0013797383630267642,0.9746676283437802,0.0065907262455677075
fl_db_gfn,small,2.0,0.9,9628.9,10257.875656727805,0.33685886045155056,0.13077838669975556,0.7321099369190393,0.0037659398945075126,0.9905077960118316,0.0036461872835057895
tb_gfn,large,0.5,0.5,35760.3,37698.619146683166,6412997342.914411,6768042921.575053,0.7785697970801154,0.0004021184640952303,0.9905885141234574,0.002063873709476656
tb_gfn,large,1.0,0.5,0.0,0.0,11754.280200097655,230.90873428313353,0.7364430683737282,0.0003220101224845503,0.9958545568327498,0.0004493887246185698
tb_gfn,large,2.0,0.5,0.0,0.0,850.3990890120056,856.9594782110737,0.7116914409010859,0.00014565570468138577,0.9971078716752075,0.0002863157414335575
tb_gfn,large,0.5,0.7,66419.7,69951.70727175524,120275325147.56918,126909768224.27977,0.8378997273808977,0.000768975978051038,0.9896351305786772,0.000906554207405048
tb_gfn,large,1.0,0.7,591.6,210.56186739293514,683702.4598875002,32706.82228068918,0.868523290521852,0.006927376319215567,0.9961338625080567,0.0007567105498402916
tb_gfn,large,2.0,0.7,0.2,0.42163702135578396,95883.1307384024,103436.10579972407,0.8779602172344403,0.006013379700725239,0.9975706479452302,0.0005734161212854272
tb_gfn,medium,0.5,0.5,54155.4,57085.019477189555,39892778676.67259,42077464568.03525,0.7370376482831709,0.0005152545782301218,0.9962849270785415,0.000727675952410849
tb_gfn,medium,1.0,0.5,0.0,0.0,44854.405848046874,1480.9670458698738,0.6910623217465386,0.000837377078224258,0.9979225123170142,0.0004594331775023816
tb_gfn,medium,2.0,0.5,0.0,0.0,3964.936444501014,4099.779378776143,0.6604333739584047,0.00049596469097807,0.9983428685305894,0.0003321994949609088
tb_gfn,medium,0.5,0.8,78838.6,79035.09064291211,343023376415.7794,361999204176.72,0.8570287285119423,0.0054032937921276655,0.993734833029442,0.0007836364618301978
tb_gfn,medium,1.0,0.8,499.0,427.07142259814106,703904.3621,39194.70286546343,0.8577053213358944,0.011781387093244933,0.8616765818565602,0.30048609269408827
